effect,power,item_n,sub_n
int,0.075,10,20
age,0.254,10,20
cond,0.284,10,20
age*cond,0.053,10,20
int,0.052,20,20
age,0.244,20,20
cond,0.512,20,20
age*cond,0.04,20,20
int,0.058,30,20
age,0.288,30,20
cond,0.677,30,20
age*cond,0.06,30,20
int,0.082,10,30
age,0.338,10,30
cond,0.411,10,30
age*cond,0.05,10,30
int,0.069,20,30
age,0.341,20,30
cond,0.675,20,30
age*cond,0.053,20,30
int,0.047,30,30
age,0.373,30,30
cond,0.855,30,30
age*cond,0.056,30,30
int,0.091,10,40
age,0.411,10,40
cond,0.518,10,40
age*cond,0.048,10,40
int,0.069,20,40
age,0.428,20,40
cond,0.803,20,40
age*cond,0.041,20,40
int,0.05,30,40
age,0.431,30,40
cond,0.927,30,40
age*cond,0.058,30,40
